DB,SITEID,DUPL,TARGSITEID,LAT,LON,ELEV,DATE,TIME,STATE,MAPSHEET,LANDFORM TYPE,GEOMORPH1,GEOMORPH2,LANDUSE1,LANDUSE1a,LANDUSE2,LANDUSE2a,CONTAMtxt,TOSID,TOSTYPE,TOSTOPD,TOSBD,TOSRAD,TOSpH,BOSID,BOSTYPE,BOSTOPD,BOSBD,BOSRAD,BOSpH
field,2007190032,2007190632,TS1317,-38.088,144.279,32,05.10.2007,10:50,VIC,Port Philip,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,5 4 0 Residential,,,2007190032001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190032002,AUGER SAMPLE,0.62,0.82,1,5.5
field,2007190033,,TS0845,-24.997,131.461,456,02.04.2009,09:25,NT,Lake Amadeus,stagnant alluvial plain,detrital deposition still water,dust deposition wind,1 0 0 Conservation and Natural Environments,,,,,2007190033001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190033002,AUGER SAMPLE,0.4,0.45,1,9
field,2007190034,,TS0377,-24.144,118.482,397,10.05.2008,08:56,WA,Mount Egerton,alluvial terrace,channelled stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190034001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190034002,PIT TRENCH SAMPLE,0.6,0.9,1,7
field,2007190035,2007190876,TS0968,-20.402,147.351,76,07.08.2007,13:50,QLD,Bowen,alluvial terrace,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190035001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190035002,AUGER SAMPLE,0.63,0.91,1,5
field,2007190036,,TS1111,-26.315,143.169,143,31.05.2008,10:00,QLD,Eromanga,alluvial plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Campers may access site  motorised auger blade chipped in one of the hole ,2007190036001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190036002,AUGER SAMPLE,0.61,0.75,1,7
field,2007190038,,TS0764,-19.83,135.394,243,07.10.2007,10:30,NT,Alroy,floodout,detrital deposition still water,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,,2007190038001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190038002,AUGER SAMPLE,0.6,0.8,1,5.5
field,2007190039,2007190984,TS0515,-27.533,115.217,222,16.11.2007,16:00,WA,Ajana,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190039001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190039002,AUGER SAMPLE,0.6,0.9,1,8.5
field,2007190041,,TS0967,-20.639,142.631,166,01.10.2007,11:25,QLD,Richmond,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,,Track 50m away,2007190041001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190041002,AUGER SAMPLE,0.59,0.69,1,8
field,2007190042,,TS1367,-38.012,143.645,133,03.03.2008,12:00,VIC,Colac,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,3 3 0 Dryland Cropping,,soiol disturbance,2007190042001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190042002,AUGER SAMPLE,0.6,0.95,1,5.5
field,2007190043,,TS0581,-31.637,124.932,148,24.01.2008,14:06,WA,Naretha,peneplain,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,,2007190043001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190043002,PIT TRENCH SAMPLE,0.25,0.3,1,9
field,2007190044,,TS1030,-23.349,141.51,115,04.04.2008,14:00,QLD,Brighton Downs,anastomatic plain,over bank stream flow,channelled stream flow,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,200m upstream from track,2007190044001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190044002,AUGER SAMPLE,0.64,0.85,1,7
field,2007190048,,TS0310,-21.728,117.257,312,09.05.2008,08:35,WA,Pyramid,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190048001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190048002,AUGER SAMPLE,0.6,0.85,1,8.5
field,2007190050,2007191481,TS0273,-20.52,118.496,23,05.04.2008,11:35,WA,Roebourne,alluvial plain,channelled stream flow,over bank stream flow,5 6 0 Utilities,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Significant land disturbance from electricity pylons  gas pipe line  exploration and roads in area,2007190050001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190050002,AUGER SAMPLE,0.5,0.8,1,7
field,2007190051,,TS1122,-27.017,149.665,264,02.11.2007,17:00,QLD,Surat,alluvial plain,over bank stream flow,,3 2 0 Dryland Grazing modified pastures,,3 2 0 Dryland Grazing modified pastures,,small pieces of charcoal on TOS sample ,2007190051001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190051002,AUGER SAMPLE,0.61,0.93,1,7
field,2007190052,,TS0620,-34.072,119.55,-2,19.02.2008,12:35,WA,Bremer Bay,flood plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,,2007190052001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190052002,AUGER SAMPLE,0.6,0.9,1,6
field,2007190053,,TS1276,-33.672,148.542,293,04.09.2007,10:45,NSW,Bathurst,alluvial plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,3 3 0 Dryland Cropping,,campfires  vehicle tracks,2007190053001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190053002,AUGER SAMPLE,0.6,1,1,6
field,2007190054,,TS0140,-33.306,139.76,101,03.07.2008,11:30,SA,Chowilla,stagnant alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,,2007190054001,PIT TRENCH SAMPLE,0.05,0.15,1,10,2007190054002,AUGER SAMPLE,0.7,0.9,1,10
field,2007190055,,TS0670,-14.652,132.018,88,20.09.2007,10:50,NT,Katherine,alluvial terrace,over bank stream flow,channelled stream flow,1 0 0 Conservation and Natural Environments,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,100m   up camp site ill from privat,2007190055001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190055002,AUGER SAMPLE,0.6,0.9,1,5
field,2007190056,,TS1343,-35.983,144.933,110,24.10.2007,10:50,VIC,Moira lakes,flood plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,2 1 0 Grazing natural vegetation,5 2 1 Dairy,,2007190056001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190056002,AUGER SAMPLE,0.59,0.78,1,5
field,2007190057,,TS1224,-31.363,143.575,85,08.11.2007,13:00,NSW,Wilcannia,flood plain,channelled stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,creek bed  clean site,2007190057001,PIT TRENCH SAMPLE,0,0.1,1,9,2007190057002,AUGER SAMPLE,0.65,0.96,1,9.5
field,2007190058,,TS0627,-34.935,117.473,10,17.01.2008,08:25,WA,Mount Barker,flood plain,over bank stream flow,,3 2 0 Dryland Grazing modified pastures,,3 2 0 Dryland Grazing modified pastures,5 2 2 Cattle,,2007190058001,PIT TRENCH SAMPLE,0,0.1,1,5,2007190058002,AUGER SAMPLE,0.6,0.9,1,5
field,2007190059,,TS0043,-30.948,136.035,131,14.07.2008,15:00,SA,Kingoonya,pediplain,sheet flow sheet or surface wash,wind,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,,2007190059001,PIT TRENCH SAMPLE,0.05,0.15,1,6,2007190059002,AUGER SAMPLE,0.6,0.9,1,9.5
field,2007190062,,TS1235,-32.1,144.219,103,03.04.2008,15:08,NSW,Louth,flood plain,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Clean Site no contaminaton  adj  to creek,2007190062001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190062002,AUGER SAMPLE,0.47,0.71,1,7.5
field,2007190063,,TS0760,-19.768,129.322,300,25.07.2008,15:24,NT,Tanami,aeolian sheet,dust deposition wind,sand deposition wind,2 1 0 Grazing natural vegetation,,,,,2007190063001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190063002,AUGER SAMPLE,0.6,0.9,1,6.5
field,2007190064,,TS1370,-37.982,147.41,22,02.04.2008,15:00,VIC,Bairnsdale Special,flood plain,over bank stream flow,,3 2 0 Dryland Grazing modified pastures,5 2 3 Sheep,2 1 0 Grazing natural vegetation,,Elevated water table,2007190064001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190064002,AUGER SAMPLE,0.55,0.85,1,4.5
field,2007190065,,TS0942,-19.241,139.96,0,18.09.2007,17:40,QLD,Dobbyn,alluvial plain,over bank stream flow,rilling/gullying,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190065001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190065002,AUGER SAMPLE,0.7,0.85,1,7
field,2007190066,,TS0272,-20.32,119.259,30,09.06.2008,09:15,WA,Port Headland,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190066001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190066002,AUGER SAMPLE,0.6,0.9,1,7.5
field,2007190067,2007191121,TS0561,-31.234,121.962,293,09.12.2007,10:05,WA,Widgiemooltha,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,Nil,2007190067001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190067002,AUGER SAMPLE,0.6,0.85,1,8.5
field,2007190068,,TS1271,-33.486,148.27,273,04.09.2007,13:10,NSW,Forbes,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,3 3 0 Dryland Cropping,fairly good site,2007190068001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190068002,AUGER SAMPLE,0.6,0.81,1,9
field,2007190069,,TS0982,-21.444,145.821,294,16.10.2007,09:15,QLD,Buchanan,alluvial plain,water,sheet flow  sheet or surface wash,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190069001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190069002,AUGER SAMPLE,0.65,0.8,1,6
field,2007190070,,TS0109,-26.76,137.52,13,09.08.2009,,SA,Poolowanna,lacustrine plain,sheet flow sheet or surface wash,sand deposition wind,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,None,2007190070001,PIT TRENCH SAMPLE,0.05,0.1,1,8,2007190070002,PIT TRENCH SAMPLE,0.6,0.7,1,8
field,2007190071,2007190289,TS0586,-32.052,118.166,245,04.12.2007,12:15,WA,Corrigin,flood plain,over bank stream flow,,3 2 0 Dryland Grazing modified pastures,5 2 3 Sheep,3 3 0 Dryland Cropping,5 2 3 Sheep,60 m down slope from wire fence ,2007190071001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190071002,AUGER SAMPLE,0.6,0.8,1,8.5
field,2007190072,,TS0093,-27.711,137.658,-6,08.09.2009,,SA,Noolyeana,longitudinal dunefield,sheet flow sheet or surface wash,sand deposition wind,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,None,2007190072001,PIT TRENCH SAMPLE,0.05,0.15,1,6,2007190072002,PIT TRENCH SAMPLE,0.3,0.35,1,6
field,2007190073,,TS0598,-32.573,118.451,265,11.12.2007,10:38,WA,Corrigin,flood plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,3 3 0 Dryland Cropping,3 3 1 Dryland cereals,Nil,2007190073001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190073002,AUGER SAMPLE,0.6,0.75,1,4.5
field,2007190074,2007190389,TS0110,-26.749,134.465,237,12.09.2009,,SA,Abminga,alluvial plain,over bank stream flow,wind,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,None,2007190074001,PIT TRENCH SAMPLE,0.05,0.1,1,6,2007190074002,PIT TRENCH SAMPLE,0.55,0.65,1,6.5
field,2007190075,,TS0361,-23.777,117.814,314,09.05.2008,14:43,WA,Turee Creek,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190075001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190075002,AUGER SAMPLE,0.6,0.9,1,8.5
field,2007190076,,TS0304,-21.771,115.406,31,06.05.2008,08:31,WA,Onslow,alluvial terrace,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190076001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190076002,AUGER SAMPLE,0.6,0.9,1,7.5
field,2007190077,,TS1189,-29.731,149.318,200,12.05.2008,15:55,NSW,Moree,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,clean site  grazing land adjacent to creek,2007190077001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190077002,AUGER SAMPLE,0.56,0.81,1,9
field,2007190078,,TS1272,-33.541,144.376,92,24.01.2008,10:08,NSW,Booligal,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,minor scrap metal  fence material nearby  relatively clean site,2007190078001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190078002,AUGER SAMPLE,0.5,0.7,1,9.5
field,2007190079,,TS1060,-24.504,139.596,92,24.05.2008,17:05,QLD,Machattie,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,nil,2007190079001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190079002,AUGER SAMPLE,0.61,0.86,1,8
field,2007190081,,TS0789,-21.11,134.492,376,26.05.2008,08:50,NT,Barrow Creek,stagnant alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,,,Water bore and dam 300 m NNW,2007190081001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190081002,AUGER SAMPLE,0.6,0.8,1,6
field,2007190082,,TS0034,-31.468,129.313,112,18.06.2009,,SA,Coompana,pediplain,sheet flow sheet or surface wash,wind,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,None,2007190082001,PIT TRENCH SAMPLE,0.05,0.1,1,9.5,2007190082002,AUGER SAMPLE,0.6,0.9,1,9.5
field,2007190083,,TS1232,-30.277,147.561,123,14.04.2008,17:30,NSW,Walgett,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,clean site  farm paddocks  grazing  no wire etc,2007190083001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190083002,AUGER SAMPLE,0.48,0.62,1,8.5
field,2007190084,,TS0820,-23.944,137.276,145,11.05.2008,13:00,NT,Hay River,alluvial terrace,over bank stream flow,wind,1 0 0 Conservation and Natural Environments,,,,None,2007190084001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190084002,AUGER SAMPLE,0.6,0.8,1,6.5
field,2007190086,,TS0596,-32.761,115.906,15,14.01.2008,15:10,WA,Pinjarra,flood plain,over bank stream flow,,3 2 0 Dryland Grazing modified pastures,5 2 1 Dairy,3 2 0 Dryland Grazing modified pastures,5 2 2 Cattle,,2007190086001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190086002,AUGER SAMPLE,0.6,0.8,1,5.5
field,2007190087,,TS0966,-20.572,148.605,17,08.08.2007,13:00,QLD,Proserpine,alluvial terrace,over bank stream flow,,4 3 0 Irrigated cropping,4 3 5 Irrigated sugar,4 3 0 Irrigated cropping,4 3 5 Irrigated sugar,Sugarcane fertilizers,2007190087001,PIT TRENCH SAMPLE,0,0.1,1,5,2007190087002,AUGER SAMPLE,0.62,0.95,1,5
field,2007190089,,TS1006,-22.422,148.695,136,18.10.2007,09:00,QLD,Saint Lawrence,alluvial plain,water,over bank stream flow,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190089001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190089002,AUGER SAMPLE,0.7,0.8,1,7.5
field,2007190090,,TS1335,-35.477,141.99,63,18.10.2007,09:30,VIC,Ouyen,alluvial plain,channelled stream flow,dust deposition wind,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,3 3 0 Dryland Cropping,not ideal flood sediments  very sandy,2007190090001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190090002,AUGER SAMPLE,0.6,0.8,1,9
field,2007190091,2007191053,TS1099,-25.89,147.817,454,20.05.2008,11:30,QLD,Eddystone,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190091001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190091002,AUGER SAMPLE,0.67,0.92,1,6.5
field,2007190092,,TS1096,-25.688,150.972,216,25.07.2007,14:58,QLD,Mundubbera,anastomatic plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190092001,SURFACE REGOLITH SAMPLE,0,0.1,1,6,2007190092002,AUGER SAMPLE,0.58,0.79,1,7
field,2007190093,,TS1333,-35.389,143.072,61,17.10.2007,10:50,VIC,Paigne,flood plain,over bank stream flow,dust deposition wind,3 3 0 Dryland Cropping,,3 3 0 Dryland Cropping,,possible movement of topsoil?,2007190093001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190093002,AUGER SAMPLE,0.58,0.76,1,9
